cat_to_ix,次数
toothbrush,90
hair drier,89
teddy bear,88
scissors,87
vase,86
clock,85
book,84
refrigerator,82
sink,81
toaster,80
oven,79
microwave,78
cell phone,77
keyboard,76
remote,75
mouse,74
laptop,73
tv,72
toilet,70
dining table,67
bed,65
potted plant,64
couch,63
chair,62
cake,61
donut,60
pizza,59
hot dog,58
carrot,57
broccoli,56
orange,55
sandwich,54
apple,53
banana,52
bowl,51
spoon,50
knife,49
fork,48
cup,47
wine glass,46
bottle,44
tennis racket,43
surfboard,42
skateboard,41
baseball glove,40
baseball bat,39
kite,38
sports ball,37
snowboard,36
skis,35
frisbee,34
suitcase,33
tie,32
handbag,31
umbrella,28
backpack,27
giraffe,25
zebra,24
bear,23
elephant,22
cow,21
sheep,20
horse,19
dog,18
cat,17
bird,16
bench,15
parking meter,14
stop sign,13
fire hydrant,11
traffic light,10
boat,9
truck,8
train,7
bus,6
airplane,5
motorcycle,4
car,3
bicycle,2
person,1
